raiser_position,defender_position,defender_archetype,hand,avg_ev_bb
SB,BB,Maniac,Q2o,1.8589987629317497
SB,BB,Maniac,87o,2.0192173231015755
SB,BB,Maniac,86s,2.009874124128389
SB,BB,Maniac,94s,1.9493163530058848
SB,BB,Maniac,85o,2.0154108346310178
SB,BB,Maniac,92s,2.029425633090798
SB,BB,Maniac,T3o,2.06212682949695
SB,BB,Maniac,86o,2.011950390566875
SB,BB,Maniac,T6o,1.8589987629317501
SB,BB,Maniac,93o,2.2225184118699826
SB,BB,Maniac,J2o,1.997416525497474
SB,BB,Maniac,65s,1.9766538611126154
SB,BB,Maniac,76o,1.7205810003660258
SB,BB,Maniac,74s,1.7205810003660258
SB,BB,Maniac,73s,1.9150579567708679
SB,BB,Maniac,83s,2.018871278695161
SB,BB,Maniac,84o,2.236879254736176
SB,BB,Maniac,T2o,1.997416525497474
SB,BB,Maniac,84s,2.101921936234595
SB,BB,Maniac,54s,1.7205810003660258
SB,BB,Maniac,53s,2.2036589917204026
SB,BB,Maniac,75o,1.7205810003660258
SB,BB,Maniac,64s,1.8558843632740212
SB,BB,Maniac,92o,1.9114244905035178
SB,BB,Maniac,82s,2.012296434973289
SB,BB,Maniac,74o,1.9974165254974736
SB,BB,Maniac,64o,1.9974165254974736
SB,BB,Maniac,43s,1.9839207936473156
SB,BB,Maniac,82o,2.1607494853250278
SB,BB,Maniac,94o,2.2344569438912765
SB,BB,Maniac,65o,1.9752696834869579
SB,BB,Maniac,73o,1.917134223209354
SB,BB,Maniac,72s,1.7205810003660258
SB,BB,Maniac,63s,1.9247472001504686
SB,BB,Maniac,53o,2.2057352581588883
SB,BB,Maniac,32s,1.9752696834869579
SB,BB,Maniac,83o,2.0171410566630894
SB,BB,Maniac,62s,1.8468872087072492
SB,BB,Maniac,42s,1.850347652771392
SB,BB,Maniac,52s,1.7205810003660258
SB,BB,Maniac,62o,1.990841681775602
SB,BB,Maniac,72o,1.8589987629317497
SB,BB,Maniac,54o,1.9974165254974736
SB,BB,Maniac,63o,1.920594667273497
SB,BB,Maniac,32o,2.112995357239853
SB,BB,Maniac,52o,1.8589987629317497
SB,BB,Maniac,42o,1.9901495929627737
SB,BB,Maniac,43o,1.982882660428073
BTN,SB,Nit,AA,1.5138438994220629
BTN,SB,Nit,KK,1.490344849585196
BTN,SB,Nit,QQ,1.4734238416018537
BTN,SB,Nit,JJ,1.4955269082800946
BTN,SB,Nit,TT,1.481884345593525
BTN,SB,Nit,99,1.490344849585196
BTN,SB,Nit,88,1.490344849585196
BTN,SB,Nit,AKs,1.4988053535768673
BTN,SB,Nit,77,1.4734238416018537
BTN,SB,Nit,AKo,1.490344849585196
BTN,SB,Nit,AJo,1.490344849585196
BTN,SB,Nit,AQo,1.490344849585196
BTN,SB,Nit,AQs,1.490344849585196
BTN,SB,Nit,A9o,1.5072658575685385
BTN,SB,Nit,A7o,1.490344849585196
BTN,SB,Nit,KJs,1.4988053535768673
BTN,SB,Nit,QJs,1.481884345593525
BTN,SB,Nit,A7s,1.490344849585196
BTN,SB,Nit,A9s,1.4945962528410108
BTN,SB,Nit,KTo,1.490344849585196
BTN,SB,Nit,A8o,1.490344849585196
BTN,SB,Nit,AJs,1.4988053535768673
BTN,SB,Nit,ATs,1.4988053535768673
BTN,SB,Nit,K9s,1.5001590342155346
BTN,SB,Nit,55,1.4734238416018537
BTN,SB,Nit,66,1.4758139339795007
BTN,SB,Nit,KQs,1.490344849585196
BTN,SB,Nit,A8s,1.4988053535768673
BTN,SB,Nit,ATo,1.490344849585196
BTN,SB,Nit,A5s,1.502231857693494
BTN,SB,Nit,QTs,1.481884345593525
BTN,SB,Nit,K8s,1.4988053535768673
BTN,SB,Nit,KTs,1.4988053535768673
BTN,SB,Nit,A4s,1.490344849585196
BTN,SB,Nit,KJo,1.490344849585196
BTN,SB,Nit,K5s,1.490344849585196
BTN,SB,Nit,A6s,1.490344849585196
BTN,SB,Nit,K9o,1.4988053535768673
BTN,SB,Nit,A3s,1.5014492610742645
BTN,SB,Nit,44,1.490344849585196
BTN,SB,Nit,KQo,1.490344849585196
BTN,SB,Nit,K7s,1.490344849585196
BTN,SB,Nit,Q8s,1.4818843455935247
BTN,SB,Nit,A5o,1.5015550173741605
BTN,SB,Nit,Q5s,1.4734238416018537
BTN,SB,Nit,A4o,1.4988053535768673
BTN,SB,Nit,Q9o,1.490344849585196
BTN,SB,Nit,QTo,1.4734238416018537
BTN,SB,Nit,Q9s,1.4836399001717966
BTN,SB,Nit,A6o,1.490344849585196
BTN,SB,Nit,A2s,1.490344849585196
BTN,SB,Nit,JTs,1.4988053535768673
BTN,SB,Nit,K4o,1.4988053535768673
BTN,SB,Nit,K6s,1.490344849585196
BTN,SB,Nit,K8o,1.4988053535768673
BTN,SB,Nit,K7o,1.490344849585196
BTN,SB,Nit,J9o,1.4988053535768673
BTN,SB,Nit,J8s,1.490344849585196
BTN,SB,Nit,JTo,1.4988053535768673
BTN,SB,Nit,K4s,1.490344849585196
BTN,SB,Nit,K2s,1.490344849585196
BTN,SB,Nit,K6o,1.490344849585196
BTN,SB,Nit,J9s,1.4955269082800946
BTN,SB,Nit,K3s,1.503648992112099
BTN,SB,Nit,A3o,1.502104950133619
BTN,SB,Nit,Q6s,1.4734238416018537
BTN,SB,Nit,QJo,1.4734238416018537
BTN,SB,Nit,33,1.4989745636567007
BTN,SB,Nit,Q3s,1.4866856816087983
BTN,SB,Nit,J7s,1.481884345593525
BTN,SB,Nit,Q6o,1.4734238416018537
BTN,SB,Nit,Q7s,1.4734238416018537
BTN,SB,Nit,J5s,1.481884345593525
BTN,SB,Nit,J6s,1.481884345593525
BTN,SB,Nit,T9o,1.4988053535768673
BTN,SB,Nit,Q7o,1.4734238416018537
BTN,SB,Nit,A2o,1.4988053535768673
